text,label
مرحبا,out_of_scope
open HBO Max and look for Game of Thrones,open_app_and_search
مرحبا,out_of_scope
أريد معرفة معلومات عن أسعار السيارات,search
look for fantasy series,search
show me survival shows,search
search zombie shows,search
turn on the lights,out_of_scope
أريد معرفة معلومات عن تمارين رياضية,search
افتح تطبيق TikTok,open_app
look for cooking shows,search
change time zone,settings
I need someone to talk to,out_of_scope
افتح Instagram وابحث عن فيديوهات تعليمية,open_app_and_search
ادخل على تطبيق Twitter,open_app
find me a series,search
my hands are full,out_of_scope
search for Oscar winners,search
launch Apple TV,open_app
look for shows starring Steve Carell,search
اختبرني في الرياضيات,out_of_scope
مش فاهم,out_of_scope
احكيلي نكتة,out_of_scope
احكيلي نكتة,out_of_scope
روح على Instagram واعرض آخر الأخبار,open_app_and_search
search for true crime on Hulu,open_app_and_search
ابحث عن وصفات طبخ,search
start HGTV,open_app
الغ وضع الطيران,settings
turn off the lights,out_of_scope
find parkour videos,search
افتح تطبيق Instagram,open_app
find documentaries on Apple TV,open_app_and_search
turn off volume leveling,settings
turn on the fan,out_of_scope
افتح Google عشان أدور على فيديوهات تعليمية,open_app_and_search
switch to Netflix and search for horror,open_app_and_search
روح على Chrome واعرض فيديوهات تعليمية,open_app_and_search
turn on the air conditioner,out_of_scope
go Disney Plus search Marvel content fast,open_app_and_search
افتح تطبيق Snapchat,open_app
طفي البلوتوث,settings
افتح تطبيق TikTok,open_app
turn off the alarm,out_of_scope
ادخل على WiFi,settings
ادخل على تطبيق Snapchat,open_app
دور على وظائف متاحة,search
مرحبا,out_of_scope
كيف أقدر ألاقي أماكن سياحية,search
افتح YouTube وابحث عن كتب مفيدة,open_app_and_search
set clock,settings
شغل تطبيق Gmail,open_app
Prime Video search phrase action movies,open_app_and_search
bring me HBO Max,open_app
شو رأيك بالسياسة؟,out_of_scope
launch Deezer,open_app
boot up Disney Plus and search for classics,open_app_and_search
ادخل على تطبيق YouTube,open_app
search Nordic noir,search
turn on my phone,out_of_scope
set subtitles to French,settings
launch Paramount Plus and find Yellowstone,open_app_and_search
شغل برنامج TikTok,open_app
شو أطبخ اليوم؟,out_of_scope
find movies released in 2024,search
change subtitle color,settings
set volume to 50,settings
أنا جوعان,out_of_scope
شو رأيك بالسياسة؟,out_of_scope
look for game shows,search
فعل الموقع,settings
find French films,search
عايز معلومات عن تمارين رياضية,search
enable parental controls,settings
ادخل Facebook وشوف برامج مشهورة,open_app_and_search
قلل الإضاءة,settings
look for HDR films,search
turn off the computer,out_of_scope
ابحث عن سعر الدولار,search
افتح Chrome وابحث عن كتب مفيدة,open_app_and_search
ادخل على تطبيق Twitter,open_app
move to HBO Max,open_app
start content platform,open_app
why is the sky blue,out_of_scope
افتح Instagram وابحث عن آخر الأخبار,open_app_and_search
ابحث عن أماكن سياحية,search
I’m thinking deeply,out_of_scope
ممكن تدور على سعر الدولار,search
look for action movies on Prime Video,open_app_and_search
activate Disney Plus,open_app
find revenge movies,search
مرحبا,out_of_scope
my internet keeps dropping,out_of_scope
افتح Google عشان أدور على كتب مفيدة,open_app_and_search
I can’t sleep,out_of_scope
enable bass boost,settings
اذهب إلى الإعدادات,settings
can you tell me about yourself,out_of_scope
الغ GPS,settings
look for feature length,search
شغل Facebook ودور على كتب مفيدة,open_app_and_search
عايز معلومات عن سعر الدولار,search
launch Prime Video and I need action movies,open_app_and_search
شغل برنامج YouTube,open_app
I need something to watch,search
set alarm for 7am,out_of_scope
شغل برنامج Instagram,open_app
in Disney Plus search Marvel,open_app_and_search
search Oppenheimer,search
فين ألاقي تمارين رياضية,search
افتح متصفح Chrome,open_app
شو معنى الحياة؟,out_of_scope
search for short films,search
ادخل Chrome وشوف آخر الأخبار,open_app_and_search
find me a movie,search
افتح تطبيق TikTok,open_app
go to Disney Plus streaming and search Marvel,open_app_and_search
launch Hulu and search for true crime,open_app_and_search
start E! Entertainment,open_app
should I go outside,out_of_scope
افتح Google عشان أدور على فيديوهات تعليمية,open_app_and_search
ادخل على متصفح Chrome,open_app
زود السطوع,settings
go to MasterClass,open_app
set temperature to 72 degrees,out_of_scope
افتح Google عشان أدور على أغاني هادئة,open_app_and_search
find martial arts films,search
طفي الانترنت,settings
turn on Dolby Atmos,settings
كيف حالك؟,out_of_scope
show me Prime Video and look for westerns,open_app_and_search
افتح تطبيق Gmail,open_app
مش فاهم,out_of_scope
connect headphones,settings
ارويلي قصة,out_of_scope
شغل Instagram ودور على صور طبيعة,open_app_and_search
ارفع الصوت,settings
who created you,out_of_scope
نعم,out_of_scope
افتح الإعدادات,settings
ادخل YouTube وشوف مباريات اليوم,open_app_and_search
adjust volume,settings
open Khan Academy,open_app
find adventure movies,search
Apple TV find documentaries,open_app_and_search
اخفض الاهتزاز,settings
set my location,out_of_scope
ارفع الصوت,settings
open Netflix,open_app
دلني على الطقس اليوم,search
روح على Facebook واعرض فيديوهات تعليمية,open_app_and_search
search content featuring Keanu Reeves,search
it's getting dark,out_of_scope
start Disney Plus to search for classics,open_app_and_search
أريد معرفة معلومات عن سعر الدولار,search
show me pilot episodes,search
I want to open Netflix and search for horror,open_app_and_search
عايز معلومات عن علاج الصداع,search
translate to Spanish,out_of_scope
enable auto volume,settings
look for true crime shows,search
افتح YouTube عشان أدور على أغاني هادئة,open_app_and_search
launch the yoga app,open_app
move to Prime Video and look for thrillers,open_app_and_search
اختبرني في الرياضيات,out_of_scope
افتح تطبيق WhatsApp,open_app
افتح متصفح Chrome,open_app
I'm thinking about buying a bicycle,out_of_scope
I want to try something new,out_of_scope
my car won't start,out_of_scope
switch language,settings
ادخل Chrome وشوف صور طبيعة,open_app_and_search
show me documentaries,search
روح على الإعدادات,settings
switch to HDMI 3,settings
translate to French,out_of_scope
ادخل YouTube وشوف كتب مفيدة,open_app_and_search
ممكن تدور على وصفات طبخ,search
using Disney Plus search Marvel content,open_app_and_search
افتح تطبيق TikTok الآن,open_app
ابحث عن أخبار الرياضة,search
شغل Chrome ودور على مطاعم قريبة,open_app_and_search
I'm annoyed right now,out_of_scope
get me Disney Plus and search animations,open_app_and_search
change to Russian,settings
go to TuneIn,open_app
switch WiFi network,settings
افتح YouTube وابحث عن برامج مشهورة,open_app_and_search
ادخل على إعدادات الصوت,settings
شو أخبارك؟,out_of_scope
نعم,out_of_scope
I’m heading to the gym,out_of_scope
افتح Chrome عشان أدور على مطاعم قريبة,open_app_and_search
اليوم كان طويل,out_of_scope
افتح تطبيق Maps الآن,open_app
find thriller movies,search
اختبرني في الرياضيات,out_of_scope
go to Tennis Channel,open_app
شغل برنامج WhatsApp,open_app
عايز معلومات عن مواعيد الصلاة,search
show me sci-fi movies,search
دلني على أفلام جديدة,search
ارفع الاهتزاز,settings
ممكن تدور على محلات ملابس قريبة,search
شو رأيك بالسياسة؟,out_of_scope
go to photos,open_app
change date,settings
شو معنى الحياة؟,out_of_scope
كيف حالك؟,out_of_scope
اذهب إلى إعدادات الشاشة,settings
شغل برنامج YouTube,open_app
افتح تطبيق Instagram,open_app
look for train documentaries,search
can you be my friend,out_of_scope
شغل تطبيق YouTube,open_app
Netflix now,open_app
افتح تطبيق Maps,open_app
go to YouTube and find cat videos,open_app_and_search
مش فاهم,out_of_scope
go to All 4,open_app
ابحث عن أخبار الرياضة,search
launch YouTube then search cat videos,open_app_and_search
فعل الانترنت,settings
how do you say hello in Italian,out_of_scope
use YouTube to find tutorials,open_app_and_search
change sharpness,settings
شغل Facebook ودور على صور طبيعة,open_app_and_search
my hair is messy,out_of_scope
افتح تطبيق Snapchat الآن,open_app
I’m learning a new language,out_of_scope
I’m feeling emotional,out_of_scope
افتح البلوتوث,settings
طفي الموقع,settings
turn off screen saver,settings
start Prime Video now,open_app
طفي التنبيهات,settings
افتح Chrome وابحث عن مطاعم قريبة,open_app_and_search
فعل وضع الطيران,settings
I’m so stressed,out_of_scope
افتح YouTube وابحث عن أغاني هادئة,open_app_and_search
disable auto-update,settings
افتح Google وابحث عن فيديوهات تعليمية,open_app_and_search
اقفل WiFi,settings
find 3D movies available,search
say this in Korean,out_of_scope
افتح Chrome عشان أدور على فيديوهات تعليمية,open_app_and_search
دلني على سعر الدولار,search
افتح YouTube وابحث عن برامج مشهورة,open_app_and_search
move subtitles down,settings
YouTube and find tutorials,open_app_and_search
find single season shows,search
translate this sentence to Russian,out_of_scope
search for films starring Matt Damon,search
افتح الانترنت,settings
افتح تطبيق TikTok,open_app
translate document to English,out_of_scope
افتح وضع الطيران,settings
افتح الإعدادات,settings
adjust audio delay,settings
شو معنى الحياة؟,out_of_scope
ارويلي قصة,out_of_scope
use TV speakers,settings
اذهب إلى الإعدادات,settings
open Edge browser,open_app
شو رأيك بالسياسة؟,out_of_scope
find Christmas movies,search
فعل الانترنت,settings
I’m worried about something,out_of_scope
افتح تطبيق YouTube,open_app
go to component input,settings
ممكن تدور على تمارين رياضية,search
start Crave,open_app
search for Inception on Netflix,open_app_and_search
عايز معلومات عن تمارين رياضية,search
what's the German word for cat,out_of_scope
روح على Facebook واعرض مباريات اليوم,open_app_and_search
open Netflix then find Inception,open_app_and_search
open Hallmark Channel,open_app
launch Udemy,open_app
switch to Hindi,settings
change website language to Dutch,out_of_scope
get YouTube with find for music,open_app_and_search
روح على Instagram واعرض صور طبيعة,open_app_and_search
ممكن تدور على محلات ملابس قريبة,search
I need Netflix and I want to search Inception,open_app_and_search
adjust the temperature,out_of_scope
ادخل Instagram وشوف صور طبيعة,open_app_and_search
ممكن تدور على أفلام جديدة,search
start the Prime Video application,open_app
ادخل على تطبيق Maps,open_app
I'm waiting for my friend to text,out_of_scope
adjust subtitle position,settings
make it louder,settings
شغل تطبيق WhatsApp,open_app
boot up Prime Video,open_app
افتح تطبيق YouTube,open_app
brightness down,settings
شو معنى الحياة؟,out_of_scope
شغل البلوتوث,settings
unpair Bluetooth device,settings
open the Netflix application,open_app
لا,out_of_scope
I don't like Mondays,out_of_scope
ابحث عن الطقس اليوم,search
start the photo gallery,open_app
adjust picture settings,settings
شغل Google ودور على آخر الأخبار,open_app_and_search
show me robot movies,search
my phone just died,out_of_scope
افتح الإعدادات,settings
search for magic shows,search
مش فاهم,out_of_scope
open Discovery Plus,open_app
my back hurts,out_of_scope
كيف أقدر ألاقي سعر الدولار,search
can you dance,out_of_scope
decrease brightness,settings
كيف أقدر ألاقي أسعار السيارات,search
I need a vacation,out_of_scope
شو أخبارك؟,out_of_scope
on YouTube find cooking videos,open_app_and_search
دور على أخبار الرياضة,search
please launch YouTube,open_app
افتح البيانات,settings
search audio described films,search
I'm bored,out_of_scope
pull up YouTube and search for tech reviews,open_app_and_search
open my streaming app,open_app
look for Game of Thrones on HBO Max,open_app_and_search
شغل وضع الطيران,settings
turn off captions,settings
افتح Google عشان أدور على برامج مشهورة,open_app_and_search
افتح تطبيق WhatsApp,open_app
can you cheer me up,out_of_scope
دلني على سعر الدولار,search
عايز معلومات عن محلات ملابس قريبة,search
launch that streaming thing,open_app
set to standard mode,settings
make subtitles smaller,settings
go to Tubi,open_app
طفي التنبيهات,settings
change my password,out_of_scope
افتح GPS,settings
افتح تطبيق Facebook,open_app
ادخل على تطبيق TikTok,open_app
search Stranger Things,search
افتح YouTube وابحث عن أغاني هادئة,open_app_and_search
افتح Google وابحث عن كتب مفيدة,open_app_and_search
adjust the lighting in the room,out_of_scope
go to the movie streaming app,open_app
شغل البلوتوث,settings
افتح تطبيق YouTube الآن,open_app
فين ألاقي أسعار السيارات,search
ممكن تدور على أماكن سياحية,search
اختبرني في الرياضيات,out_of_scope
دور على كورسات برمجة,search
go to Spotify and play rock music,open_app_and_search
شو أخبارك؟,out_of_scope
ارويلي قصة,out_of_scope
open Disney Plus and find Mandalorian,open_app_and_search
شغل تطبيق Instagram,open_app
افتح تطبيق Instagram,open_app
via Disney Plus search for classics,open_app_and_search
نعم,out_of_scope
افتح YouTube عشان أدور على آخر الأخبار,open_app_and_search
اقفل البيانات,settings
ارفع الصوت,settings
look for courtroom dramas,search
نعم,out_of_scope
غنيلي أغنية,out_of_scope
turn on volume leveling,settings
update software,settings
روح على Google واعرض مباريات اليوم,open_app_and_search
افتح إعدادات الصوت,settings
غنيلي أغنية,out_of_scope
افتح تطبيق Netflix,open_app
adjust time,settings
افتح تطبيق Chrome,open_app
I'm thinking about quitting my job,out_of_scope
start Disney Plus and search for Marvel,open_app_and_search
launch Netflix and find horror films,open_app_and_search
افتح Chrome عشان أدور على فيديوهات تعليمية,open_app_and_search
look for Top Gun,search
نعم,out_of_scope
I’m going on vacation soon,out_of_scope
دور على تمارين رياضية,search
my mind is blank,out_of_scope
open that movie app,open_app
Spotify,open_app
افتح تطبيق Instagram الآن,open_app
open Netflix to search for documentaries,open_app_and_search
find biographical content,search
start MLB TV,open_app
دلني على أسعار الذهب,search
through Prime Video look for thrillers,open_app_and_search
I’m stuck on a decision,out_of_scope
طفي الموقع,settings
ابحث عن الطقس اليوم,search
search for romantic comedies,search
switch to external speakers,settings
open HBO Max,open_app
ابحث عن أخبار الرياضة,search
take me to YouTube,open_app
change my email address,out_of_scope
find cinematic universe,search
طفي البلوتوث,settings
show network settings,settings
increase volume,settings
شغل تطبيق Snapchat,open_app
find racing movies,search
open PBS,open_app
افتح تطبيق YouTube الآن,open_app
I’m feeling grateful,out_of_scope
افتح Facebook وابحث عن كتب مفيدة,open_app_and_search
what’s your name,out_of_scope
نعم,out_of_scope
check system version,settings
ارويلي قصة,out_of_scope
change to Disney Plus,open_app
افتح YouTube عشان أدور على فيديوهات تعليمية,open_app_and_search
افتح تطبيق Instagram,open_app
روح على YouTube واعرض فيديوهات تعليمية,open_app_and_search
Disney,open_app
اقفل الوضع الصامت,settings
adjust my privacy settings on Facebook,out_of_scope
find mountain climbing documentaries,search
turn off Bluetooth,settings
أريد معرفة معلومات عن أخبار الرياضة,search
start my Netflix account,open_app
احكيلي نكتة,out_of_scope
load Spotify,open_app
شغل Facebook ودور على مطاعم قريبة,open_app_and_search
كيف حالك؟,out_of_scope
تمام,out_of_scope
look for films by Quentin Tarantino,search
افتح الموقع,settings
"open Netflix, search for comedies",open_app_and_search
افتح تطبيق Facebook الآن,open_app
اخفض الاهتزاز,settings
افتح تطبيق YouTube,open_app
change the background color on my website,out_of_scope
دور على أخبار الرياضة,search
find crime dramas,search
open audio streaming,open_app
enable closed captions,settings
start Coursera,open_app
كيف أقدر ألاقي تمارين رياضية,search
launch Philo,open_app
turn down the sound,settings
should I study or rest,out_of_scope
فين ألاقي أسعار الذهب,search
I want to watch Netflix,open_app
فعل الوضع الصامت,settings
I’m stuck in traffic,out_of_scope
find Bollywood movies,search
find series with Jennifer Aniston,search
open Netflix search Inception right now,open_app_and_search
مرحبا,out_of_scope
go to Peacock,open_app
افتح WiFi,settings
begin Netflix,open_app
I forgot my password,out_of_scope
شغل برنامج Instagram,open_app
ارفع السطوع,settings
I’m hungry again,out_of_scope
change audio output,settings
my phone battery is dying,out_of_scope
مرحبا,out_of_scope
ارويلي قصة,out_of_scope
cycle through inputs,settings
افتح الموقع,settings
ارويلي قصة,out_of_scope
اليوم كان طويل,out_of_scope
شغل Chrome ودور على فيديوهات تعليمية,open_app_and_search
فين ألاقي الطقس اليوم,search
افتح تطبيق WhatsApp الآن,open_app
اليوم كان طويل,out_of_scope
شغل تطبيق Instagram,open_app
افتح تطبيق Gmail,open_app
أنا جوعان,out_of_scope
شغل تطبيق Snapchat,open_app
could you open Disney Plus and find Pixar,open_app_and_search
ارويلي قصة,out_of_scope
افتح تطبيق Gmail,open_app
show me coming of age films,search
اقفل وضع الطيران,settings
افتح تطبيق Maps الآن,open_app
اقفل الوضع الصامت,settings
louder please,settings
I’m thinking about sleeping early,out_of_scope
reset network settings,settings
life is complicated,out_of_scope
فعل الموقع,settings
فعل البيانات,settings
ابحث عن وظائف متاحة,search
move subtitles up,settings
شغل التنبيهات,settings
ادخل Instagram وشوف صور طبيعة,open_app_and_search
adjust my insurance coverage,out_of_scope
let me use Netflix to search for comedies,open_app_and_search
ادخل على تطبيق Twitter,open_app
search for circus documentaries,search
enable notifications on my phone,out_of_scope
jump to Disney Plus and search Pixar,open_app_and_search
شغل Instagram ودور على برامج مشهورة,open_app_and_search
شغل تطبيق Gmail,open_app
شو معنى الحياة؟,out_of_scope
open Hulu and search for Bob's Burgers,open_app_and_search
search reality shows,search
cancel sleep timer,settings
sleep timer 30 minutes,settings
I'm drinking tea,out_of_scope
افتح تطبيق Chrome,open_app
open the red app,open_app
افتح Google وابحث عن فيديوهات تعليمية,open_app_and_search
I want to take a nap,out_of_scope
run network test,settings
what's good to watch,search
open Prime Video and search for fantasy series,open_app_and_search
search for new releases,search
load the Disney Plus app,open_app
شغل Instagram ودور على فيديوهات تعليمية,open_app_and_search
مش فاهم,out_of_scope
open VH1,open_app
start the entertainment app,open_app
فعل وضع الطيران,settings
افتح تطبيق Maps الآن,open_app
Hulu,open_app
find The Mandalorian,search
I want to write a book,out_of_scope
زود الإضاءة,settings
اذهب إلى الإعدادات,settings
ممكن تدور على علاج الصداع,search
I’m feeling brave today,out_of_scope
launch the video platform,open_app
my room is messy,out_of_scope
كيف أقدر ألاقي كورسات برمجة,search
Netflix,open_app
search for dystopian movies,search
اختبرني في الرياضيات,out_of_scope
show me psychological thrillers,search
go to Netflix app,open_app
fire up Prime Video and look for thriller movies,open_app_and_search
غنيلي أغنية,out_of_scope
دلني على وصفات طبخ,search
open the app for movies,open_app
I feel sleepy after lunch,out_of_scope
افتح Google عشان أدور على فيديوهات تعليمية,open_app_and_search
أريد معرفة معلومات عن علاج الصداع,search
افتح الموقع,settings
روح على Chrome واعرض أغاني هادئة,open_app_and_search
شغل Chrome ودور على أغاني هادئة,open_app_and_search
افتح Google عشان أدور على مباريات اليوم,open_app_and_search
نعم,out_of_scope
I’m going to visit my family,out_of_scope
show me alien invasion films,search
طفي الانترنت,settings
I'm planning a surprise for someone,out_of_scope
ادخل على تطبيق Maps,open_app
go to Travel Channel,open_app
افتح إعدادات الشاشة,settings
شو أطبخ اليوم؟,out_of_scope
روح على YouTube واعرض برامج مشهورة,open_app_and_search
show me submarine movies,search
change picture mode,settings
Netflix show me Inception,open_app_and_search
اليوم كان طويل,out_of_scope
دلني على وظائف متاحة,search
ادخل Instagram وشوف مباريات اليوم,open_app_and_search
افتح YouTube وابحث عن مباريات اليوم,open_app_and_search
فين ألاقي أفضل المطاعم,search
اختبرني في الرياضيات,out_of_scope
ممكن تدور على كورسات برمجة,search
launch Prime Video and look for action movies,open_app_and_search
increase saturation,settings
connect to soundbar,settings
look up action on Prime Video,open_app_and_search
launch YouTube,open_app
I feel dizzy,out_of_scope
طفي الموقع,settings
launch MUBI,open_app
شغل WiFi,settings
كيف أقدر ألاقي وظائف متاحة,search
I feel energetic today,out_of_scope
change input to HDMI 2,settings
ارويلي قصة,out_of_scope
شو أطبخ اليوم؟,out_of_scope
make subtitles bigger,settings
tell me a joke,out_of_scope
فعل الموقع,settings
ادخل على تطبيق WhatsApp,open_app
شغل برنامج Maps,open_app
روح على Google واعرض آخر الأخبار,open_app_and_search
open My5,open_app
disable cookies,out_of_scope
adjust sharpness,settings
change to warm color,settings
fire Netflix and search thriller series,open_app_and_search
روح على Chrome واعرض برامج مشهورة,open_app_and_search
اليوم كان طويل,out_of_scope
طفي الوضع الصامت,settings
شغل WiFi,settings
ابحث عن سعر الدولار,search
turn on ambient mode,settings
I’m holding a cup of tea,out_of_scope
I'm stretching a bit,out_of_scope
launch History Channel,open_app
اليوم كان طويل,out_of_scope
max volume,settings
ارويلي قصة,out_of_scope
lower the brightness,settings
احكيلي نكتة,out_of_scope
قلل الإضاءة,settings
افتح Instagram وابحث عن برامج مشهورة,open_app_and_search
ممكن تدور على سعر الدولار,search
go to Apple TV and search for Foundation,open_app_and_search
enable dark mode on my browser,out_of_scope
روح على Facebook واعرض مطاعم قريبة,open_app_and_search
كيف أقدر ألاقي وظائف متاحة,search
افتح Google عشان أدور على كتب مفيدة,open_app_and_search
افتح وضع الطيران,settings
مرحبا,out_of_scope
شغل تطبيق Snapchat,open_app
change to Chinese,settings
افتح Instagram عشان أدور على صور طبيعة,open_app_and_search
روح على YouTube واعرض آخر الأخبار,open_app_and_search
الغ الانترنت,settings
احكيلي نكتة,out_of_scope
I missed breakfast,out_of_scope
execute the Spotify app,open_app
فين ألاقي محلات ملابس قريبة,search
شو أطبخ اليوم؟,out_of_scope
افتح تطبيق Facebook الآن,open_app
ادخل على تطبيق Snapchat,open_app
open Cooking Channel,open_app
ادخل على متصفح Chrome,open_app
I want to learn guitar,out_of_scope
أنا جوعان,out_of_scope
open Amazon Music,open_app
افتح Google عشان أدور على أغاني هادئة,open_app_and_search
عايز معلومات عن أفضل المطاعم,search
ادخل على تطبيق Facebook,open_app
search films with Brad Pitt,search
افتح تطبيق Facebook,open_app
disable automatic updates,out_of_scope
افتح تطبيق Gmail,open_app
go to Lifetime,open_app
اقفل البلوتوث,settings
find treasure hunt films,search
