text,label
could you no sound,mute
please too dark increase brightness quickly,brightness_up
could you boost the volume for me,volume_up
hey volume down,volume_down
could you play music now,out_of_scope
please turn down the volume,volume_down
could you silence the tv please,mute
can you tell me a joke quickly,out_of_scope
tv increase brightness for me,brightness_up
could you dim the screen for me,brightness_down
could you lower brightness please,brightness_down
can you volume down,volume_down
restore sound,unmute
decrease brightness quickly,brightness_down
tv no sound now,mute
hey restore sound,unmute
brighten the screen now,brightness_up
please unmute now,unmute
now bring back sound please,unmute
could you open netflix please,out_of_scope
could you make it quieter now,volume_down
please silence the tv for me,mute
lower brightness,brightness_down
now increase brighness,brightness_up
restore sound quickly,unmute
hey make it darker for me,brightness_down
make it quieter,volume_down
now reduce volum,volume_down
could you mute the sound now,mute
raise brightness,brightness_up
hey make it darker for me,brightness_down
now open youtube for me,out_of_scope
mute quickly,mute
please lower the sound now,volume_down
tv lower brightness,brightness_down
please restore sound for me,unmute
please mute,mute
hey open youtube,out_of_scope
please open netflix please,out_of_scope
hey decrease volume quickly,volume_down
could you raise brightness,brightness_up
tv volume up,volume_up
please unmute quickly,unmute
disable audio for me,mute
hey mute quickly,mute
please play music for me,out_of_scope
open netflix quickly,out_of_scope
lower the sound,volume_down
could you reduce brightness now,brightness_down
please brighten the screen now,brightness_up
increase brightnes,brightness_up
could you play music now,out_of_scope
tv enable audio,unmute
increase brightness please,brightness_up
hey lower the sound quickly,volume_down
open netflix,out_of_scope
tv mute quickly,mute
make it brighter now,brightness_up
hey lower the sound for me,volume_down
could you disable audio quickly,mute
make it quieter for me,volume_down
hey lower brightness now,brightness_down
can you turn sound on,unmute
increase brightness for me,brightness_up
tv boost the volume now,volume_up
can you volume down please,volume_down
what time is it,out_of_scope
please decrease brightness,brightness_down
hey increase brightness for me,brightness_up
make it louder,volume_up
can you reduce volume please,volume_down
can you turn off sound quickly,mute
hey dim the screen now,brightness_down
now unmute quickly,unmute
tv mute the sound,mute
tv increase volume,volume_up
now make it darker now,brightness_down
could you restore sound please,unmute
can you no sound for me,mute
can you mute the sound now,mute
tv silence the tv,mute
could you raise brightness quickly,brightness_up
who are you,out_of_scope
could you bring back sound quickly,unmute
please brighten the screen please,brightness_up
now open netflix,out_of_scope
now enable audio,unmute
tv brighten the screen now,brightness_up
hey increase brightness now,brightness_up
now make it darker now,brightness_down
hey who are you for me,out_of_scope
could you make it darker quickly,brightness_down
hey decrease brightness for me,brightness_down
now can you increase the volme now,volume_up
what time is it please,out_of_scope
turn off sound now,mute
now increase brightness for me,brightness_up
too dark increase brightness quickly,brightness_up
turn off sound quickly,mute
now reduce volume please,volume_down
hey volume down for me,volume_down
hey play music for me,out_of_scope
could you decrease brightness,brightness_down
can you play music quickly,out_of_scope
could you open youtube,out_of_scope
turn off sound now,mute
please make it darker now,brightness_down
please too dark increase brighness please,brightness_up
dim the screen,brightness_down
please increase volume please,volume_up
could you who are you please,out_of_scope
please increase brightness for me,brightness_up
hey play music now,out_of_scope
tv too dark increase brightness please,brightness_up
can you enable audio quickly,unmute
could you increase volume now,volume_up
hey reduce brightness for me,brightness_down
now play music please,out_of_scope
please tell me a joke for me,out_of_scope
now decrease volume quickly,volume_down
could you increase brightness now,brightness_up
now boost the volume,volume_up
no sound,mute
tv mute the sound now,mute
could you restore snd,unmute
now make it quieter quickly,volume_down
could you lower the sound for me,volume_down
tv decrease volume for me,volume_down
could you volume up now,volume_up
please silence the tv now,mute
please what is the weather please,out_of_scope
brighten the screen please,brightness_up
make it quieter,volume_down
tv increase volume,volume_up
now restore sound quickly,unmute
can you make it quieter quickly,volume_down
hey restore sound now,unmute
tv turn off sound for me,mute
can you volume down for me,volume_down
could you volume down quickly,volume_down
can you unmute please,unmute
no sound please,mute
can you set an alarm quickly,out_of_scope
please no sound,mute
can you disable audio for me,mute
please turn off sound now,mute
could you what is the weather for me,out_of_scope
please reduce brightness please,brightness_down
please decrease volume please,volume_down
tv decrease brightness quickly,brightness_down
hey raise brightness please,brightness_up
now make the sound louder now,volume_up
brighten the screen now,brightness_up
can you too dark increase brightness for me,brightness_up
can you silence the tv quickly,mute
tv lower brightness quickly,brightness_down
please who are you for me,out_of_scope
now open netflix quickly,out_of_scope
now open netflix please,out_of_scope
play music please,out_of_scope
tv open netflix,out_of_scope
can you make it quieter please,volume_down
hey what time is it now,out_of_scope
please make it louder please,volume_up
can you increase brightness quickly,brightness_up
tv raise the sound please,volume_up
turn sound on,unmute
could you make it darker now,brightness_down
tv decrease brightness quickly,brightness_down
hey lower brightness please,brightness_down
tv silence the tv quickly,mute
tv restore sound quickly,unmute
could you can you increase the volme for me,volume_up
who are you now,out_of_scope
could you no sound for me,mute
can you silence the tv please,mute
tv increase brightness for me,brightness_up
can you disable audio quickly,mute
could you lower the sound now,volume_down
hey make it brighter please,brightness_up
can you too dark increase brightness for me,brightness_up
